again; novamente
ago; atrás
almost; quase
already; já
also; também
always; sempre
during; durante
even; até mesmo
finally; finalmente
here; aqui
just; apenas/só
lately; ultimamente
maybe; talvez
most; a maioria
never; nunca
now; agora
often; frequentemente
only; apenas/somente
so; então
sometimes; às vezes
soon; em breve
still; ainda
then; então
there; lá/aí
together; juntos
too; também/demais
usually; geralmente
very; muito
yet; ainda
Quickly;Rapidamente
Slowly;Lentamente
Carefully;Cuidadosamente
Easily;Facilmente
Happily;Felizmente
Sadly;Tristemente
Angrily;Zangadamente
Excitedly;Animadamente
Tiredly;Cansadamente
Bravely;Corajosamente
Calmly;Calmamente
Gently;Gentilmente
Loudly;Alto (som)
Quietly;Silenciosamente
Brightly;Brilhantemente
Darkly;Sombrio
Deeply;Profundamente
Lightly;Levemente
Strongly;Fortemente
Weakly;Debilmente
Warmly;Calorosamente
Coldly;Friamente
Softly;Suavemente
Roughly;Rudemente
Smoothly;Suavemente
Quickly;Rapidamente
Slowly;Lentamente
Carefully;Cuidadosamente
Easily;Facilmente
Happily;Felizmente
Sadly;Tristemente
Angrily;Zangadamente
Excitedly;Animadamente
Tiredly;Cansadamente
Bravely;Corajosamente
Calmly;Calmamente
Gently;Gentilmente
Loudly;Alto (som)
Quietly;Silenciosamente
Brightly;Brilhantemente
Darkly;Sombrio
Deeply;Profundamente
Lightly;Levemente
Strongly;Fortemente
Weakly;Debilmente
Warmly;Calorosamente
Coldly;Friamente
Softly;Suavemente
Roughly;Rudemente
Smoothly;Suavemente
Quickly;Rapidamente
Slowly;Lentamente
Carefully;Cuidadosamente
Easily;Facilmente
Happily;Felizmente
Sadly;Tristemente
Angrily;Zangadamente
Excitedly;Animadamente
Tiredly;Cansadamente
Bravely;Corajosamente
Calmly;Calmamente
Gently;Gentilmente
Loudly;Alto (som)
Quietly;Silenciosamente
Brightly;Brilhantemente
Darkly;Sombrio
Deeply;Profundamente
Lightly;Levemente
Strongly;Fortemente
Weakly;Debilmente
Warmly;Calorosamente
Coldly;Friamente
Softly;Suavemente
Roughly;Rudemente
Smoothly;Suavemente
Quickly;Rapidamente
Slowly;Lentamente
Carefully;Cuidadosamente
Easily;Facilmente
Happily;Felizmente
Sadly;Tristemente
Angrily;Zangadamente
Excitedly;Animadamente
Tiredly;Cansadamente
Bravely;Corajosamente
Calmly;Calmamente
Gently;Gentilmente
Loudly;Alto (som)
Quietly;Silenciosamente
